Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
87	55	0	1.28078187	3.13175838e+11	2.83772937e+11	2.39454452e+11	3.13175838e+11	7.37213866e+10	7.68147303e+09	0	0	0	0	3
88	56	0	1.2955035	3.14219958e+11	2.85971923e+11	2.43316875e+11	3.14219958e+11	7.09030828e+10	7.6729724e+09	0	0	0	0	3
89	56	0	1.31022513	3.15149736e+11	2.88084654e+11	2.47056519e+11	3.15149736e+11	6.80932173e+10	7.66190491e+09	0	0	0	0	3
90	57	0	1.32494676	3.15967553e+11	2.90111449e+11	2.50605241e+11	3.15967553e+11	6.53623126e+10	7.64875766e+09	0	0	0	0	3
91	57	0	1.33966839	3.16737409e+11	2.92056513e+11	2.54021006e+11	3.16737409e+11	6.27164032e+10	7.63337037e+09	0	0	0	0	3
92	58	0	1.35439002	3.17378752e+11	2.93919976e+11	2.57231048e+11	3.17378752e+11	6.01477048e+10	7.61632192e+09	0	0	0	0	3
93	58	0	1.36911165	3.17978522e+11	2.95706666e+11	2.60385077e+11	3.17978522e+11	5.75934444e+10	7.59760084e+09	0	0	0	0	3
94	59	0	1.38383328	3.18581725e+11	2.97418332e+11	2.63412332e+11	3.18581725e+11	5.51693923e+10	7.57609658e+09	0	0	0	0	3
95	59	0	1.39855492	3.19149885e+11	2.99057672e+11	2.66370826e+11	3.19149885e+11	5.27790591e+10	7.5516076e+09	0	0	0	0	3
96	60	0	1.41327655	3.19697073e+11	3.00626091e+11	2.69268078e+11	3.19697073e+11	5.04289945e+10	7.52425989e+09	0	0	0	0	3
97	60	0	1.42799818	3.20335932e+11	3.02128087e+11	2.71976209e+11	3.20335932e+11	4.83597226e+10	7.49464031e+09	0	0	0	0	3
98	61	0	1.44271981	3.20906861e+11	3.03567224e+11	2.74654028e+11	3.20906861e+11	4.62528333e+10	7.46292485e+09	0	0	0	0	3
99	62	0	1.45744144	3.21361302e+11	3.04940967e+11	2.7727327e+11	3.21361302e+11	4.40880321e+10	7.42765802e+09	0	0	0	0	3
100	62	0	1.47216307	3.21827096e+11	3.06251374e+11	2.79798888e+11	3.21827096e+11	4.20282079e+10	7.38904104e+09	0	0	0	0	3
101	63	0	1.4868847	3.22314453e+11	3.07501832e+11	2.82218576e+11	3.22314453e+11	4.00958772e+10	7.37232419e+09	0	0	0	0	3
102	64	0	1.50160633	3.2278724e+11	3.08695028e+11	2.84682546e+11	3.2278724e+11	3.81046937e+10	7.37232419e+09	0	0	0	0	3
103	64	0	1.51632796	3.23106974e+11	3.09825158e+11	2.86996799e+11	3.23106974e+11	3.61101751e+10	7.37232419e+09	0	0	0	0	3
104	65	0	1.53104959	3.23436756e+11	3.10896921e+11	2.8914779e+11	3.23436756e+11	3.42889661e+10	7.37232419e+09	0	0	0	0	3
105	66	0	1.54577122	3.23712785e+11	3.11913539e+11	2.91271475e+11	3.23712785e+11	3.24413098e+10	7.37232419e+09	0	0	0	0	3
106	66	0	1.56049285	3.24057199e+11	3.12877825e+11	2.93237076e+11	3.24057199e+11	3.08201223e+10	7.37232419e+09	0	0	0	0	3
