Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
161	96	0	2.37018254	6602.86133	6618.11486	6588.98025	6636.64976	47.6695178	38.0728625	0	79.8	0	0	3
162	97	0	2.38490417	6604.64808	6618.54189	6588.98025	6636.64976	47.6695178	38.0728625	0	79.8	0	0	3
163	97	0	2.3996258	6599.42969	6618.84923	6592.61585	6636.64976	44.0339141	38.0728625	0	86.4	0	0	3
164	98	0	2.41434743	6607.79882	6619.21071	6592.61585	6636.64976	44.0339141	38.0728625	0	86.4	0	0	3
165	98	0	2.42906906	6627.84422	6620.24684	6598.23106	6636.64976	38.4187003	38.0728625	0	99	0	0	3
166	99	0	2.44379069	6637.10805	6621.24312	6598.23106	6637.10805	38.8769837	38.0728625	0	97.9	0	0	3
167	100	0	2.45851232	6640.38958	6622.29266	6598.23106	6640.38958	42.1585113	38.0728625	0	90.3	0	0	3
168	100	0	2.47323396	6641.64476	6623.56953	6599.42969	6641.64476	42.2150676	38.0728625	0	90.1	0	0	3
169	101	0	2.48795559	6634.32874	6624.19899	6599.42969	6641.64476	42.2150676	38.0728625	0	90.1	0	0	3
170	101	0	2.50267722	6641.21373	6624.56198	6599.42969	6641.64476	42.2150676	38.0728625	0	90.1	0	0	3
171	102	0	2.51739885	6645.1916	6624.99684	6599.42969	6645.1916	45.7619057	38.0728625	0	83.1	0	0	3
172	102	0	2.53212048	6648.39421	6625.54251	6599.42969	6648.39421	48.9645175	38.0728625	0	77.7	0	0	3
173	103	0	2.54684211	6637.71922	6625.61561	6599.42969	6648.39421	48.9645175	38.0728625	0	77.7	0	0	3
174	103	0	2.56156374	6637.16334	6626.06626	6599.42969	6648.39421	48.9645175	38.0728625	0	77.7	0	0	3
175	104	0	2.57628537	6641.43371	6626.40558	6599.42969	6648.39421	48.9645175	38.0728625	0	77.7	0	0	3
176	104	0	2.591007	6630.68463	6626.67177	6599.42969	6648.39421	48.9645175	38.0728625	0	77.7	0	0	3
177	105	0	2.60572863	6626.54002	6626.90587	6599.42969	6648.39421	47.7269241	38.0728625	0	79.7	0	0	3
178	105	0	2.62045026	6625.19371	6626.81561	6599.42969	6648.39421	44.3019187	38.0728625	0	85.9	0	0	3
179	106	0	2.63517189	6619.63329	6626.36109	6599.42969	6648.39421	40.8507242	38.0728625	0	93.1	0	0	3
180	107	0	2.64989352	6624.10362	6625.99209	6599.42969	6648.39421	37.7699568	38.0728625	0	100	0	0	3
